id,positive,negative
548156505074466000,0,0
391693979411947000,0,0
483312212790898000,0,0
309743470011117000,0,0
505727252701536000,0,0
392783706064453000,0,0
388408073561178000,1,0
489020991809392000,0,0
344593959051464000,0,0
420983014131122000,0,0
437304246547914000,0,0
420589525492973000,1,0
304764348847489000,0,0
382995508895047000,0,0
303246191330750000,0,0
420579362656632000,0,0
328996152013910000,2,0
343653507938783000,1,0
430741888639836000,0,0
514485425285910000,1,0
491110006872215000,1,0
452234303594708000,0,0
463084888166768000,0,0
346812137685012000,0,1
358363552886689000,0,0
526590249280225000,0,0
363315876516216000,0,0
492758356017164000,0,1
346812984770826000,0,0
469205409535131000,2,0
462623179114950000,1,0
412572302216552000,0,1
347695671970775000,1,0
500401581582348000,0,0
353214981799542000,0,0
350694234220797000,1,0
427244862430539000,0,0
368816320185257000,0,0
437591325522022000,0,0
479798166208782000,1,0
469730096043925000,0,1
456167784800870000,0,0
348174355093659000,1,0
390676106069553000,0,0
414755009578815000,0,1
372075642541838000,0,0
367808747756093000,0,2
464471432911523000,0,0
321381682458525000,0,1
524754314498408000,1,0
545105899535474000,0,0
505884522727342000,0,0
434531882881929000,0,1
464427115962974000,1,0
478487207289061000,0,0
393446867423354000,1,0
331874614777114000,0,0
415212297921896000,2,0
532814013726720000,0,0
362348393286213000,0,0
475782015132770000,0,0
528014538646749000,0,0
471834042812604000,1,0
409831286660808000,0,0
391210820824489000,1,0
417169720572260000,0,0
329005471379890000,1,0
455408150108438000,0,0
360376399422439000,0,0
346709117081092000,0,0
352723614895845000,0,0
401787656058961000,0,0
483639385439887000,1,0
423459629012484000,0,0
346771805249359000,1,0
346734186331271000,1,0
444496454493949000,1,0
543384574185979000,0,0
453682156389548000,1,0
500042632912175000,1,0
355903455237386000,0,0
474361932854878000,0,0
507685774561910000,0,0
524528786675478000,0,1
540509424947712000,0,1
538862132968689000,0,0
514942327631405000,1,0
536921231325691000,0,1
291901760895873000,0,0
460087470777176000,1,0
520002113481764000,0,2
314472568985903000,1,0
538523627180679000,0,0
344626074711363000,0,0
543210883812720000,1,0
335809928814002000,0,0
304958113323286000,0,1
337974453738811000,1,0
385523512611336000,0,2
290467694707351000,2,0
464719462810152000,1,0
456252119360626000,1,0
354646824604274000,0,0
530377383107260000,1,0
383389240887083000,1,0
549984428962103000,0,0
352169517859868000,0,0
550113416221032000,0,0
385082003290222000,0,1
401900080015216000,1,0
522859932001914000,0,0
452466290414743000,0,0
457029995227906000,0,1
380848566337417000,0,0
494616067843842000,0,0
526151491640655000,0,0
535791428203724000,0,1
342791117055610000,0,1
471683307696947000,1,0
522930429650030000,0,0
479811286218199000,2,0
341371193951150000,0,0
545377824883113000,0,0
365570079942905000,1,0
338062303436099000,1,0
336293351613673000,0,0
392888932775755000,0,0
325343940658200000,0,0
502891991513178000,2,0
544573617200431000,0,1
323927175906603000,0,0
450414642502709000,0,1
353848623580192000,0,0
346985332979408000,1,0
315849730896826000,0,0
408582487401455000,0,0
449918611407110000,1,0
472415591538499000,1,0
347013606652669000,0,0
444996553787199000,0,0
484709008192716000,0,0
402174177911652000,0,0
512397559529103000,0,0
544488841877262000,0,0
450347231741476000,0,0
287414929290563000,0,0
450029970178723000,0,1
463871664057360000,1,1
383732317971574000,0,0
360054528193740000,0,0
417271906555813000,0,0
502546477412261000,0,0
542157727615963000,0,0
428718312931856000,0,0
310999362044035000,0,1
489416393318621000,1,0
436624270056513000,1,0
418784100045320000,1,0
346981360877064000,0,1
417972695108562000,0,0
540155354060189000,1,0
424727357270671000,2,0
384152599902965000,0,0
304446412245053000,1,0
317002686367141000,0,0
437619679004073000,0,0
346798640397942000,0,0
377533119970414000,0,0
450446712104968000,1,0
335088504323313000,0,0
546508655047106000,0,0
405844210823073000,0,0
383175671150673000,0,0
337597587278405000,0,0
332682932542115000,1,0
540625758004080000,0,0
385446823617626000,0,0
346714670385737000,0,0
459901235517091000,0,0
358341175989649000,0,0
347478738411323000,0,0
394815837862760000,0,0
409525580833374000,2,0
543177388054429000,0,0
290537789735452000,0,0
514207560858357000,1,1
538483278240440000,0,0
435999457143181000,0,1
289490815972155000,0,0
437599240035270000,0,0
429057510868525000,0,0
487709768761372000,0,0
540530341585227000,0,0
349320822160236000,0,0
505788716229869000,0,0
332720039264415000,0,0
396380925438619000,0,1
487429530479788000,0,0
327200368930996000,0,0
439174465625157000,1,0
447376456255930000,0,0
464427539356590000,0,0
424881779116220000,0,0
515530113107394000,1,0
496438924806750000,0,1
408720320288141000,0,1
537617808801431000,0,0
502897397782315000,1,0
537024578850017000,0,0
468853692142477000,0,0
496804575698251000,0,1
483988502624088000,0,1
406468268439113000,0,0
360592284233908000,0,0
333982814267666000,2,0
376376964569137000,1,0
461866136540577000,1,0
334469768985853000,0,0
530059341614047000,0,0
402627527601971000,1,0
363048116205137000,0,0
381193791249874000,0,0
504031789342420000,1,0
404688910673928000,0,0
404367345722077000,2,0
527296914266812000,0,0
342792475942985000,0,1
499290283754799000,0,0
389681476834308000,0,0
373839989152698000,0,0
543260657529798000,0,0
477677450785079000,1,0
333296085034483000,1,1
333261545071071000,1,0
336579487187746000,2,0
472234531819626000,0,0
295203424650280000,0,2
335455971591729000,0,0
338318609103347000,0,0
526149369570279000,0,0
332518565993410000,0,1
416270734512496000,0,0
379786086241038000,0,0
466252380565417000,0,0
423958193438343000,2,0
411152504970575000,0,0
300397541722292000,0,1
485549815464337000,0,0
523992163206844000,0,0
295329748492644000,0,0
479104202057056000,0,0
352180309858594000,1,0
417714191651180000,1,0
544206552593203000,0,0
422118475029815000,0,0
464378852085465000,1,0
335194158727827000,0,1
387048917965090000,0,1
495996396353249000,0,0
346991368557699000,0,0
472243528458706000,0,0
517532029391364000,0,0
437311573997404000,0,1
437568445475852000,0,0
418803150452035000,0,1
367046424547962000,0,0
512685007446347000,0,0
544465483979059000,0,0
344231470493212000,0,0
314404902308827000,0,0
464377199315779000,0,1
400795656862068000,1,0
380847580575727000,0,1
370719322236530000,0,0
399019981494423000,0,0
547062160728141000,0,0
289570952730251000,0,0
328652810138812000,1,0
475314476082663000,0,0
506094887708524000,0,0
523170490689798000,0,1
466404696539025000,2,1
474282887106535000,1,0
382731108468547000,0,1
486685934956449000,0,1
325222159129653000,0,1
502901873406640000,2,0
527557720199942000,0,0
335416003758534000,0,0
393897478233157000,1,0
411340128942972000,0,0
485529636609064000,1,0
397521113493692000,0,0
473691427458023000,1,0
407051352506761000,1,0
523227902603956000,1,0
502877902808297000,2,0
367362528260530000,0,0
302608577279963000,1,0
395231485021540000,0,0
314705801719738000,1,0
310819145556062000,0,0
347000281239797000,1,0
