,TotalVotes,RejectedBallots
53865,290,0
45957,240,2
49506,295,0
68156,229,3
36912,244,1
57087,220,0
41983,155,2
58858,195,0
17651,171,5
12817,269,1
2583,242,0
20673,122,3
64033,94,0
57355,105,1
27648,172,2
64970,252,0
1763,280,1
59514,201,0
68987,233,0
33349,193,0
27388,201,1
51382,193,0
73027,458,12
63095,70,0
2089,205,0
29030,382,2
29200,131,0
52350,136,0
56634,176,2
48677,280,2
35914,185,0
62984,180,0
19226,144,1
47405,276,0
44885,891,4
52971,102,0
1567,213,0
65700,317,1
4240,126,0
453,76,0
58748,162,0
38274,228,1
24577,231,0
62981,337,0
3135,201,1
27268,238,1
33601,117,0
15254,169,5
69677,240,1
43974,84,1
15894,193,4
30322,212,2
44056,262,3
61745,250,0
27187,122,0
49519,282,0
35591,245,0
72026,223,0
28629,110,1
45352,255,2
849,195,0
4796,164,1
34325,765,4
39101,196,0
41813,164,0
40034,190,1
22775,193,7
15739,356,9
25543,177,1
70402,137,0
70332,161,1
55262,838,3
34367,155,3
26949,155,0
71300,164,1
7624,128,0
6696,151,1
8405,251,1
59574,214,0
9216,153,2
12548,817,12
64466,816,0
67943,281,0
53774,159,1
33975,319,0
2703,271,0
52167,237,0
60246,223,1
32645,201,1
52696,68,0
69696,217,0
60493,273,1
33268,325,0
45026,84,0
46424,164,0
4641,493,4
40811,200,1
22255,175,5
27893,136,0
53679,250,0
6380,201,1
17128,213,3
39780,214,1
39466,774,5
35233,181,1
14814,164,3
66747,262,0
19590,1214,12
37539,125,1
27855,220,1
69834,153,0
51781,560,2
26184,189,0
47388,231,1
12226,200,1
63210,221,0
54466,126,0
13760,270,2
60920,220,1
15846,163,2
73453,91,0
16174,278,2
34156,219,0
52645,189,2
22916,198,6
14889,241,1
72574,103,5
22180,166,8
267,64,0
18195,95,2
49914,141,0
54302,90,0
70348,111,0
65531,192,0
46397,116,1
26562,204,3
39962,165,1
23400,247,4
41770,208,0
58936,174,1
18453,183,2
54135,236,1
25726,164,0
69119,182,0
2678,224,0
11800,135,2
32622,236,0
35556,183,1
62110,234,1
49502,278,2
31881,251,0
52933,262,2
33401,277,0
68593,211,0
36901,140,0
11199,225,7
39694,248,1
72600,191,4
8363,176,3
16403,306,6
20367,268,3
16060,217,5
3693,185,3
15618,212,2
30290,673,9
11415,1175,10
27060,694,1
22015,210,1
6945,227,2
28273,51,4
58819,236,0
42404,273,0
34418,206,1
22523,223,3
42023,303,1
60167,1433,12
40636,151,2
24744,169,2
52689,862,3
30950,127,6
673,242,3
35420,168,0
50020,263,1
2917,169,1
73374,242,1
20197,209,0
19371,121,2
57794,194,2
42374,50,0
11632,209,1
35052,272,1
30517,243,0
40453,138,0
6188,240,2
59556,543,0
58288,218,0
37867,218,0
37771,273,1
407,255,2
40411,923,0
8395,95,3
45610,219,3
13903,211,5
56884,311,1
8222,202,2
49090,157,1
67101,267,2
54472,221,0
68500,263,0
45570,261,1
45114,218,0
23796,166,4
34799,201,3
51494,21,0
12711,261,3
3687,251,1
17780,234,2
3763,332,1
42885,184,2
40130,109,1
66750,231,1
21604,224,2
30619,197,0
20037,220,2
10199,130,0
41408,281,4
47190,121,0
30674,252,1
41574,295,1
32243,222,0
9025,262,3
51706,33,0
37763,134,0
9409,124,1
58099,238,0
34485,149,1
65189,209,0
39096,200,0
63153,180,0
50921,104,1
12068,212,5
26118,227,2
63401,190,0
52098,159,1
69356,229,0
42076,219,1
2697,202,2
34196,345,2
54855,234,2
46007,115,2
64682,253,0
52458,107,2
68287,190,0
22781,139,2
73496,14,2
33124,157,0
30554,222,0
52862,902,3
10687,92,3
33768,221,1
52656,235,0
39768,174,4
37860,264,0
72276,212,0
19529,281,3
11799,221,1
57684,222,0
47586,188,0
26314,207,3
45156,138,0
23075,181,3
2921,222,0
46546,215,2
41640,348,3
27858,147,1
69671,241,2
28585,249,0
53677,219,1
27745,152,2
47428,149,6
50880,161,0
16759,157,3
874,239,0
50171,195,0
1460,229,0
2377,95,0
19420,206,2
30409,291,1
11479,292,3
14026,246,2
25559,151,0
30831,209,1
52184,226,1
67319,135,0
12007,114,0
68835,243,2
27944,170,0
12707,273,6
69123,236,0
37934,950,6
8834,152,1
31399,274,0
54983,251,1
28890,180,2
6417,221,0
49039,191,2
50233,248,1
1512,65,3
21469,183,2
65106,85,2
31878,177,0
3543,258,0
70043,53,0
44115,256,0
921,79,1
72348,212,3
11109,288,5
53678,231,2
39597,212,1
32189,176,0
9130,180,0
10769,748,10
771,167,0
56681,232,3
37039,61,3
61905,208,0
67454,299,3
49615,328,1
37005,193,1
53197,83,0
2489,258,0
25150,214,0
71844,263,0
40631,181,1
26717,167,1
61605,263,1
38929,159,0
48873,48,0
47413,322,0
5953,207,1
41767,189,2
27807,121,0
7655,145,3
7445,738,7
46519,195,0
20825,74,0
896,53,1
60733,178,0
9103,232,5
220,145,7
24887,205,0
33565,158,0
64420,228,0
36700,191,1
19968,242,6
37837,252,0
51477,180,1
5139,150,1
11023,230,4
28528,174,1
43866,204,1
55228,252,1
22369,227,5
18689,158,1
35003,106,0
49982,123,0
977,217,0
36896,231,0
38922,235,0
34386,131,1
63390,243,1
2326,118,0
72536,158,0
27860,179,0
41080,200,1
22150,96,2
48276,213,0
4541,199,1
12816,222,5
30240,186,0
1194,193,0
70651,265,0
29937,219,0
34825,157,0
9504,243,2
60139,157,0
47588,274,0
37782,196,0
34526,48,1
16910,164,5
70251,323,0
15982,157,1
35155,169,0
13438,300,10
24358,160,2
53808,277,0
21247,886,7
69978,233,0
29532,192,0
19182,152,0
1060,249,0
22592,150,2
36608,158,0
21340,184,4
35257,208,0
66049,135,0
44848,179,0
60994,164,0
1418,444,1
30687,160,0
40446,193,2
10451,152,4
64818,259,1
29483,130,3
35298,239,0
38582,164,0
67982,191,1
27403,219,0
67663,245,0
45050,152,1
65593,197,2
396,118,2
9477,153,3
25194,170,0
50422,177,0
25251,220,0
36326,233,1
20126,198,2
73174,211,1
9135,172,6
46789,91,5
60802,180,0
65589,304,2
44771,277,2
8668,252,3
37054,231,0
18666,247,2
20922,234,0
818,153,0
2028,111,0
48187,212,1
35488,188,0
53075,237,4
9980,234,1
59580,214,0
10956,192,3
41713,226,2
72047,144,1
32116,71,1
50650,223,6
17138,249,8
33220,148,0
35465,743,1
27430,200,1
71008,244,2
24927,178,0
47844,277,3
43036,98,5
70457,214,0
16641,123,4
68139,255,0
63963,163,0
22887,213,5
18135,126,0
30179,193,1
64813,221,1
57377,215,2
26752,175,0
4005,207,2
23016,219,0
19639,165,4
19456,191,2
2925,168,2
66143,269,1
28818,296,0
60729,224,0
24398,116,10
56621,110,1
2141,85,0
25345,216,0
71532,108,1
57737,215,1
40297,194,1
57081,183,0
39109,184,1
56685,264,1
34953,231,1
62477,222,4
58006,249,2
20649,124,4
65221,121,0
45378,219,5
61901,241,0
30715,502,1
30156,125,1
2784,225,1
36370,181,1
47569,219,0
42619,213,0
49304,192,1
11070,227,2
32347,621,0
49110,231,1
68755,1016,0
15621,44,1
69331,201,0
56698,238,1
34198,275,0
20463,238,4
19054,1026,4
50715,388,3
30320,232,0
51044,174,4
62309,243,0
61844,204,0
34924,152,2
54417,35,0
36615,767,1
64309,143,0
14719,149,4
69538,166,0
42090,325,2
10209,193,3
28632,188,2
15683,231,1
41536,200,0
66789,212,1
39065,197,0
50952,261,2
68107,231,1
58888,256,0
5901,1691,10
2897,120,0
29245,163,0
64473,117,4
13019,146,3
33828,201,0
70556,299,0
27245,283,0
44874,76,3
8390,203,5
2742,170,1
58251,272,2
39944,122,1
25773,256,1
17049,185,6
73160,218,0
45267,1138,3
12018,25,0
41982,216,0
12274,130,0
70010,196,1
4167,228,1
8119,210,1
39829,192,0
18807,164,1
38995,185,5
56566,281,1
26817,251,0
10957,160,6
35888,211,1
58977,218,2
29648,268,0
7201,178,4
64964,175,0
63483,198,1
1902,280,2
3671,113,0
69482,127,0
9215,168,2
52142,219,2
43069,132,0
42528,260,2
7323,185,1
60967,160,0
52703,276,0
49764,229,0
22952,190,0
55769,259,0
1533,171,0
49302,239,3
54459,174,0
54157,178,0
44872,271,1
56410,132,0
25063,152,1
4131,197,0
6737,249,2
34969,146,0
40449,170,0
49702,239,0
28372,168,0
18222,119,0
32849,123,1
63843,871,0
59059,266,0
7547,146,3
45063,177,1
52995,188,0
50574,201,0
67105,303,1
50323,214,1
38883,208,1
14608,220,2
46518,225,0
73053,231,0
14864,171,3
66456,151,0
30078,176,0
25928,126,0
72284,225,2
3996,155,0
73049,218,0
66706,138,0
51509,222,2
27845,170,0
44285,307,3
44217,1536,7
44550,278,1
32838,189,1
17686,230,7
26267,154,1
63063,257,1
3113,158,0
55294,147,0
