,ElectoralDistrictNumber,ElectoralDistrictName,PollingStationNumber,PollingStationName,Liberal Party of Canada,New Democratic Party,Conservative Party of Canada,Green Party of Canada,Bloc Québécois,Libertarian Party of Canada,Marxist-Leninist Party of Canada,Christian Heritage Party of Canada,Rhinoceros Party,Communist Party of Canada,Forces et Démocratie,Province
53865,46014,Winnipeg South Centre,14,Winnipeg,170.0,25.0,88.0,7.0,,,,,,,,Manitoba
45957,35097,Scarborough--Rouge Park,138,Scarborough,119.0,25.0,93.0,1.0,,,,,,,,Ontario
49506,35113,Wellington--Halton Hills,147,Halton Hills,95.0,10.0,189.0,1.0,,,,,,,,Ontario
68156,59019,New Westminster--Burnaby,79,New Westminster,69.0,108.0,39.0,2.0,,6.0,2.0,,,,,British Columbia
36912,35057,Milton,58,Milton,109.0,23.0,105.0,5.0,,1.0,,,,,,Ontario
57087,48003,Bow River,97,Vulcan,19.0,14.0,180.0,6.0,,,,1.0,,,,Alberta
41983,35079,Ottawa West--Nepean,,Nepean,77.0,20.0,46.0,6.0,,,0.0,4.0,,,,Ontario
58858,48011,Calgary Shepard,144,Calgary,64.0,16.0,112.0,3.0,,,,,,,,Alberta
17651,24050,Montcalm,137,Mascouche,48.0,25.0,19.0,1.0,73.0,,,,,,0.0,Quebec
12817,24030,Hull--Aylmer,43,Gatineau,136.0,78.0,20.0,5.0,28.0,,0.0,1.0,,,,Quebec
2583,12004,Dartmouth--Cole Harbour,136,Halifax,135.0,74.0,19.0,14.0,,,,,,,,Nova Scotia
20673,24063,Rivière-du-Nord,3,Saint-Jérôme,40.0,31.0,11.0,0.0,36.0,,,,1.0,,,Quebec
64033,48034,Yellowhead,1B,Rocky Mountain House,11.0,1.0,74.0,6.0,,2.0,,,,,,Alberta
57355,48004,Calgary Centre,1,Calgary,38.0,4.0,60.0,2.0,,,,,,,,Alberta
27648,35016,Cambridge,45,Cambridge,65.0,45.0,56.0,4.0,,,0.0,,,,,Ontario
64970,59005,Central Okanagan--Similkameen--Nicola,68,Glenrosa,97.0,24.0,123.0,8.0,,,,,,,,British Columbia
1763,11004,Malpeque,69,Rocky Point,168.0,29.0,43.0,39.0,,,,,,,,Prince Edward Island
59514,48014,Edmonton Centre,152,Edmonton,59.0,34.0,102.0,4.0,,,,,1.0,,,Alberta
68987,59023,Port Moody--Coquitlam,36,Port Moody,98.0,87.0,41.0,7.0,,,0.0,,,,,British Columbia
33349,35041,Kanata--Carleton,,Kanata,104.0,7.0,73.0,9.0,,,,,,,,Ontario
27388,35015,Burlington,64,Burlington,99.0,19.0,78.0,4.0,,,,,,,,Ontario
51382,46001,Brandon--Souris,54A,Brandon,63.0,4.0,122.0,4.0,,,,,,,,Manitoba
73027,59041,Victoria,,Group 1/Groupe 1,107.0,172.0,70.0,79.0,,14.0,,,,,,British Columbia
63095,48030,Red Deer--Lacombe,2,Mobile poll/Bureau itinérant,21.0,11.0,34.0,4.0,,,,,,,,Alberta
2089,12002,Central Nova,88,New Glasgow,130.0,15.0,51.0,6.0,,,,,,,,Nova Scotia
29030,35022,Dufferin--Caledon,148,Orangeville,136.0,41.0,176.0,27.0,,,,,,,,Ontario
29200,35023,Durham,69,Clarington,32.0,37.0,56.0,6.0,,,,0.0,,,,Ontario
52350,46006,Kildonan--St. Paul,55A,Winnipeg,81.0,15.0,36.0,2.0,,,,2.0,,,,Manitoba
56634,48001,Banff--Airdrie,129,Balzac,64.0,8.0,101.0,1.0,,,,,,,,Alberta
48677,35109,Toronto--Danforth,174,Toronto,106.0,116.0,34.0,15.0,,,,,,,,Ontario
35914,35052,London North Centre,4,London,96.0,27.0,59.0,3.0,,,0.0,,,,,Ontario
62984,48030,Red Deer--Lacombe,97,Red Deer,39.0,10.0,122.0,9.0,,,,,,,,Alberta
19226,24057,Pontiac,163,Cantley,80.0,35.0,16.0,2.0,10.0,,0.0,,,,0.0,Quebec
47405,35103,Sudbury,152,Greater Sudbury / Grand Sudbury,102.0,67.0,96.0,11.0,,,,,,0.0,,Ontario
44885,35091,Sarnia--Lambton,2,Sarnia,293.0,229.0,341.0,24.0,,,,,,,,Ontario
52971,46009,Saint Boniface--Saint Vital,C,Winnipeg,61.0,11.0,29.0,1.0,,,,,,,,Manitoba
1567,11002,Charlottetown,45,Charlottetown,118.0,49.0,35.0,11.0,,,,,,,,Prince Edward Island
65700,59008,Coquitlam--Port Coquitlam,172,Port Coquitlam,115.0,74.0,102.0,19.0,,6.0,,,,,,British Columbia
4240,13001,Acadie--Bathurst,39B,Caraquet,88.0,28.0,7.0,3.0,,,,,,,,New Brunswick
453,10002,Bonavista--Burin--Trinity,2,Mobile poll/Bureau itinérant,59.0,6.0,11.0,0.0,,,,,,,,Newfoundland and Labrador
58748,48011,Calgary Shepard,,Calgary,50.0,24.0,79.0,9.0,,,,,,,,Alberta
38274,35063,Mississauga--Streetsville,144,Mississauga,105.0,15.0,104.0,2.0,,,,1.0,,,,Ontario
24577,35001,Ajax,172,Ajax,116.0,21.0,86.0,8.0,,,,,,,,Ontario
62981,48030,Red Deer--Lacombe,94,Eckville,30.0,10.0,288.0,9.0,,,,,,,,Alberta
